,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
0,France,Pomerol,Château La Providence,4.2,100,95,2011,red,blend
1,France,Lirac,Château Mont-Redon,4.3,100,16,2017,red,blend
2,Italy,Toscana,Renzo Masi,3.9,100,7,2015,red,blend
3,Italy,Bardolino,Cavalchina,3.5,100,9,2019,red,blend
4,Austria,Carnuntum,Markowitsch,3.9,100,29,2016,red,Pinot Noir
5,France,Gigondas,Vieux Clocher,3.7,100,20,2017,red,blend
6,New Zealand,Wairarapa,Schubert,4.0,100,44,2016,red,Pinot Noir
7,Chile,Itata Valley,Viña La Causa,3.9,100,18,2014,red,blend
8,Italy,Chianti,Castello Montaùto,3.6,100,11,2015,red,blend
9,France,Minervois,Domaine des Aires Hautes,3.5,100,7,2014,red,blend
10,Italy,Chianti,Poggiotondo,3.9,100,21,2013,red,blend
11,Australia,Barossa,Torbreck,4.3,100,141,2016,red,blend
12,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,15,2017,red,blend
13,Italy,Puglia,La Bollina,3.6,100,9,2018,red,Primitivo
14,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8,2017,red,blend
15,Australia,South Eastern Australia,Barramundi,3.2,100,6,2018,red,Shiraz
16,South Africa,Stellenbosch,Ernie Els,4.2,100,29,2016,red,blend
17,Spain,Bierzo,Losada,4.3,100,42,2016,red,blend
18,United States,California,Hacienda,3.8,100,8,2015,red,Cabernet Sauvignon
19,Italy,Salento,San Donaci,4.0,100,13,2016,red,Negroamaro
20,Portugal,Douro,Conceito,3.4,100,10,2015,red,blend
21,Other Countries,Other Region,Other Winery,3.7,100,24,2013,red,blend
22,Italy,Puglia,Azienda Agricola Morella,4.2,100,39,2015,red,Primitivo
23,Other Countries,Other Region,Other Winery,2.9,100,7,2013,red,Tannat
24,South Africa,Stellenbosch,Vriesenhof,4.3,100,26,2015,red,blend
25,Italy,Chianti Classico,Antinori,4.2,1000,40,2016,red,blend
26,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174,2012,red,blend
27,Italy,Veneto,Colli Vicentini,3.7,1000,16,2013,red,blend
28,United States,Monterey,District 7,3.6,1001,16,2016,red,Pinot Noir
29,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43,2015,red,blend
30,Spain,Yecla,Castaño,3.3,1004,9,2017,red,blend
31,Spain,Campo de Borja,Borsao,3.9,1006,15,2015,red,blend
32,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189,2010,red,blend
33,France,Bourgogne,Faiveley,3.7,1009,16,2017,red,Pinot Noir
34,Italy,Barbera d'Asti,Trinchero,4.1,101,77,2007,red,Barbera
35,Italy,Salento,San Marzano,3.8,101,7,2017,red,blend
36,France,Bordeaux,J.Queyrens & Fils,3.6,101,6,2017,red,blend
37,France,Sancerre,Comte Lafond,4.2,101,37,2015,red,blend
38,Australia,McLaren Vale,Food Truck,3.5,101,9,2016,red,Shiraz
39,France,Saint-Joseph,Louis Chèze,4.2,101,24,2018,red,blend
40,South Africa,Stellenbosch,Big Flower,4.0,101,16,2015,red,Cabernet Sauvignon
41,France,Fronsac,Château Mayne-Vieil,3.7,101,16,2015,red,blend
42,Italy,Terre del Volturno,Nanni Copé,3.8,101,32,2014,red,Bosco
43,Italy,Lazio,Poggio le Volpi,4.0,101,10,2018,red,blend
44,Spain,Castilla y León,Arrayán,3.7,101,22,2014,red,blend
45,Chile,Central Valley,Valdivieso,3.3,101,8,2018,red,Cabernet Sauvignon
46,Portugal,Alentejano,Rui Reguinga,4.1,101,28,2013,red,blend
47,France,Fronsac,Château Villars,3.8,101,26,2005,red,blend
48,France,Madiran,Domaine Berthoumieu,3.7,101,14,2014,red,blend
49,United States,Napa Valley,Rutherford Wine Company,3.8,101,18,2016,red,Cabernet Sauvignon
50,Italy,Puglia,Varvaglione,3.9,101,9,2016,red,Primitivo
51,Spain,Almansa,Bodegas Piqueras,4.2,101,11,2013,red,blend
52,Spain,Catalunya,Torres,3.6,101,9,2017,red,blend
53,France,Languedoc,Paul Mas,3.8,101,11,2018,red,blend
54,France,Pays d'Oc,Les Jamelles,3.6,101,5,2018,red,Merlot
55,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31,2015,red,Barbera
56,Italy,Barolo,Giacomo Fenocchio,4.0,101,40,2014,red,blend
57,France,Pauillac,Château Mouton Rothschild,4.6,101,634,2017,red,blend
58,United States,Washington,Stimson Estate Cellars,3.3,101,8,2014,red,Cabernet Sauvignon
59,France,Côte-Rôtie,Francois Villard,4.4,101,48,2017,red,blend
60,Italy,Toscana,Poggio Argentiera,3.8,101,20,2015,red,blend
61,France,Madiran,Domaine Berthoumieu,3.8,101,10,2015,red,blend
62,Argentina,Mendoza,Trapiche,3.7,1010,7,2019,red,Malbec
63,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,17,2017,red,Cabernet Sauvignon
64,Italy,Ruchè,Montalbera,4.0,1012,20,2017,red,blend
65,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,49,2011,red,blend
66,Other Countries,Other Region,Other Winery,3.6,1012,11,2015,red,Tannat
67,France,Pauillac,Château Pichon Baron,4.4,1014,119,2007,red,blend
68,United States,Napa Valley,The Crane Assembly,4.3,1014,54,2016,red,blend
69,United States,Mendocino County,Bonterra,3.6,1015,17,2015,red,Zinfandel
70,France,Margaux,Château Labégorce,4.0,1016,41,2010,red,blend
71,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11,2015,red,Barbera
72,Spain,Ribera del Duero,Garmón,4.2,1017,39,2015,red,blend
73,France,Faugères,Saint Antonin,3.8,102,8,2018,red,blend
74,Italy,Terre Siciliane,Roccaperciata,3.7,102,5,2018,red,Syrah
75,Spain,Bierzo,Losada,4.1,102,36,2013,red,blend
76,Italy,Terre Siciliane,Mandrarossa,3.7,102,10,2018,red,blend
77,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,24,2016,red,blend
78,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,28,2016,red,Pinot Noir
79,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,40,2005,red,blend
80,Spain,Castilla,Viña San Juan,3.4,102,7,2017,red,Tempranillo
